,objectid,id,name,latitude,longitude
0,1,1611400,Nawiliwili,21.9544,-159.3561
1,2,1612340,Honolulu,21.306694,-157.867
2,3,1612480,Mokuoloe,21.433056,-157.79
3,4,1615680,"Kahului, Kahului Harbor",20.895,-156.476694
4,5,1617433,Kawaihae,20.0366,-155.8294
5,6,1617760,"Hilo, Hilo Bay, Kuhio Bay",19.73028,-155.06
6,7,1619910,"Sand Island, Midway Islands",28.2117,-177.36
7,8,1630000,"Apra Harbor, Guam",13.44339,144.656361
8,9,1631428,"Pago Bay, Guam",13.428333,144.796944
9,10,1820000,"Kwajalein, Marshall Islands",8.7317,167.736115
10,11,1890000,"Wake Island, Pacific Ocean",19.290556,166.6175
11,12,2695535,Bermuda Biological Station,32.369999,-64.695
12,13,2695540,"Bermuda, St. Georges Island",32.373306,-64.703306
13,14,8311030,Ogdensburg,44.701668,-75.494
14,15,8311062,Alexandria Bay,44.33111,-75.934528
15,16,8410140,Eastport,44.904598,-66.982903
16,17,8411060,Cutler Farris Wharf,44.657028,-67.204666
17,18,8413320,Bar Harbor,44.392194,-68.204278
18,19,8418150,Portland,43.65806,-70.24417
19,20,8419317,Wells,43.32,-70.563306
20,21,8419870,Seavey Island,43.079722,-70.741111
21,22,8443970,Boston,42.3539,-71.05028
22,23,8447386,Fall River,41.704306,-71.164111
23,24,8447435,"Chatham, Lydia Cove",41.688056,-69.95083
24,25,8447930,Woods Hole,41.523613,-70.671112
25,26,8449130,Nantucket Island,41.285278,-70.09639
26,27,8452660,Newport,41.504333,-71.326139
27,28,8452944,Conimicut Light,41.716667,-71.343333
28,29,8454000,Providence,41.807098,-71.401199
29,30,8454049,Quonset Point,41.58694,-71.41
30,31,8461490,New London,41.3717,-72.095525
31,32,8465705,New Haven,41.283333,-72.908333
32,33,8467150,Bridgeport,41.173302,-73.181702
33,34,8510560,Montauk,41.048333,-71.959444
34,35,8516945,Kings Point,40.810306,-73.765
35,36,8518750,The Battery,40.700556,-74.014167
36,37,8518962,Turkey Point Hudson River NERRS,42.014167,-73.939167
37,38,8519483,Bergen Point West Reach,40.6391,-74.146306
38,39,8531680,Sandy Hook,40.466944,-74.009444
39,40,8534720,Atlantic City,39.356667,-74.418053
40,41,8536110,Cape May,38.967778,-74.959722
41,42,8537121,Ship John Shoal,39.30539,-75.37668
42,43,8539094,"Burlington, Delaware River",40.08,-74.873333
43,44,8540433,Marcus Hook,39.811667,-75.409444
44,45,8545240,Philadelphia,39.933333,-75.141667
45,46,8546252,Bridesburg,39.983333,-75.075
46,47,8548989,Newbold,40.137306,-74.751889
47,48,8551762,Delaware City,39.5817,-75.5883
48,49,8551910,Reedy Point,39.558333,-75.571944
49,50,8555889,Brandywine Shoal Light,38.987,-75.113
50,51,8557380,Lewes,38.78278,-75.119164
51,52,8570283,Ocean City Inlet,38.328267,-75.091086
52,53,8571421,Bishops Head,38.22,-76.0383
53,54,8571892,Cambridge,38.5725,-76.061667
54,55,8573364,Tolchester Beach,39.2134,-76.244531
55,56,8573927,Chesapeake City,39.526667,-75.81
56,57,8574680,"Baltimore, Fort McHenry, Patapsco River",39.266944,-76.579444
57,58,8575512,Annapolis,38.98328,-76.4816
58,59,8577330,Solomons Island,38.317222,-76.450833
59,60,8594900,Washington,38.873,-77.0217
60,61,8631044,Wachapreague,37.607778,-75.685833
61,62,8632200,Kiptopeke,37.16519,-75.988444
62,63,8635027,Dahlgren,38.31975,-77.036611
63,64,8635750,Lewisetta,37.995278,-76.464722
64,65,8636580,Windmill Point,37.616111,-76.29
65,66,8637689,Yorktown USCG Training Center,37.2265,-76.478806
66,67,8638610,Sewells Point,36.946701,-76.330002
67,68,8638901,"CBBT, Chesapeake Channel",37.032902,-76.083298
68,69,8639348,Money Point,36.778306,-76.301694
69,70,8651370,Duck,36.183306,-75.746694
70,71,8652587,Oregon Inlet Marina,35.795,-75.54806
71,72,8654467,USCG Station Hatteras,35.208639,-75.704167
72,73,8656483,"Beaufort, Duke Marine Lab",34.72,-76.67
73,74,8658120,Wilmington,34.2275,-77.953611
74,75,8658163,Wrightsville Beach,34.213333,-77.786667
75,76,8661070,Springmaid Pier,33.655,-78.918306
76,77,8662245,Oyster Landing (N Inlet Estuary),33.3517,-79.1867
77,78,8665530,"Charleston, Cooper River Entrance",32.780833,-79.923611
78,79,8670870,Fort Pulaski,32.0367,-80.9017
79,80,8720030,Fernandina Beach,30.671389,-81.465833
80,81,8720218,Mayport (Bar Pilots Dock),30.398167,-81.427889
81,82,8720219,Dames Point,30.387222,-81.559166
82,83,8720226,"Southbank Riverwalk, St Johns River",30.320499,-81.659058
83,84,8720357,I-295 Buckman Bridge,30.192417,-81.69
84,85,8721604,"Trident Pier, Port Canaveral",28.415833,-80.593056
85,86,8722670,"Lake Worth Pier, Atlantic Ocean",26.612778,-80.034167
86,87,8722956,South Port Everglades,26.081667,-80.116667
87,88,8723214,"Virginia Key, Biscayne Bay",25.731667,-80.161667
88,89,8723970,"Vaca Key, Florida Bay",24.711,-81.1065
89,90,8724580,Key West,24.55083,-81.80806
90,91,8725110,"Naples, Gulf of Mexico",26.131667,-81.8075
91,92,8725520,Fort Myers,26.648,-81.871
92,93,8726384,Port Manatee,27.638333,-82.5625
93,94,8726520,"St. Petersburg, Tampa Bay",27.76061,-82.6269
94,95,8726607,Old Port Tampa,27.857778,-82.552778
95,96,8726674,East Bay,27.923056,-82.421389
96,97,8726724,Clearwater Beach,27.978306,-82.831694
97,98,8727520,Cedar Key,29.135,-83.0317
98,99,8728690,Apalachicola,29.724444,-84.980556
99,100,8729108,Panama City,30.15228,-85.7
100,101,8729210,Panama City Beach,30.213301,-85.878304
101,102,8729840,Pensacola,30.404389,-87.211194
102,103,8732828,"Weeks Bay, Mobile Bay",30.416889,-87.825389
103,104,8735180,Dauphin Island,30.25,-88.075
104,105,8735391,Dog River Bridge,30.565167,-88.088
105,106,8735523,East Fowl River Bridge,30.443611,-88.113889
106,107,8736897,Coast Guard Sector Mobile,30.648306,-88.058306
107,108,8737048,Mobile State Docks,30.70461,-88.03961
108,109,8737138,Chickasaw Creek,30.7819,-88.07361
109,110,8738043,West Fowl River Bridge,30.376639,-88.158556
110,111,8739803,Bayou La Batre Bridge,30.40625,-88.247806
111,112,8740166,"Grand Bay NERR, Mississippi Sound",30.413194,-88.402889
112,113,8741533,Pascagoula NOAA Lab,30.36778,-88.56306
113,114,8747437,Bay Waveland Yacht Club,30.325,-89.325
114,115,8760721,Pilottown,29.178306,-89.258306
115,116,8760922,"Pilots Station East, S.W. Pass",28.932222,-89.4075
116,117,8761305,Shell Beach,29.8683,-89.673
117,118,8761724,Grand Isle,29.263,-89.957
118,119,8761927,New Canal Station,30.027222,-90.113333
119,120,8761955,Carrollton,29.9329,-90.135472
120,121,8762075,"Port Fourchon, Belle Pass",29.11425,-90.19925
121,122,8762482,"West Bank 1, Bayou Gauche",29.788611,-90.420278
122,123,8762483,I-10 Bonnet Carre Floodway,30.067861,-90.389972
123,124,8764044,"Berwick, Atchafalaya River",29.6675,-91.237611
124,125,8764227,"LAWMA, Amerada Pass",29.4496,-91.338097
125,126,8764314,"Eugene Island, North of , Gulf of Mexico",29.37306,-91.3839
126,127,8766072,Freshwater Canal Locks,29.551694,-92.305194
127,128,8767816,Lake Charles,30.223611,-93.221667
128,129,8767961,Bulk Terminal,30.190194,-93.300806
129,130,8768094,Calcasieu Pass,29.768167,-93.342889
130,131,8770475,Port Arthur,29.867083,-93.931
131,132,8770520,Rainbow Bridge,29.98,-93.881699
132,133,8770613,"Morgans Point, Barbours Cut",29.681694,-94.985
133,134,8770777,Manchester,29.726222,-95.265778
134,135,8770808,High Island,29.59472,-94.39028
