key,id,name,latitude,longitude,datum,note
14,8311030,Ogdensburg,44.701668,-75.494,igld,
15,8311062,Alexandria Bay,44.33111,-75.934528,igld,
168,9014070,Algonac,42.621113,-82.526665,igld,
169,9014080,St. Clair State Police,42.812222,-82.485558,igld,
170,9014087,Dry Dock,42.945278,-82.443333,igld,
171,9014090,Mouth of the Black River,42.974724,-82.418892,igld,
172,9014096,Dunn Paper,43.0033,-82.4217,igld,
173,9014098,Fort Gratiot,43.0069,-82.4225,igld,
174,9034052,St Clair Shores,42.473222,-82.87925,igld,
175,9044020,Gibraltar,42.091694,-83.186694,igld,
176,9044030,Wyandotte,42.202306,-83.1475,igld,
177,9044036,Fort Wayne,42.2983,-83.0933,igld,
178,9044049,Windmill Point,42.357498,-82.93,igld,
179,9052000,Cape Vincent,44.13028,-76.332,igld,
180,9052030,Oswego,43.46417,-76.51183,igld,
181,9052058,Rochester,43.26903,-77.62575,igld,
182,9052076,Olcott,43.33839,-78.7273,igld,
183,9063007,Ashland Ave,43.1,-79.059917,igld,
184,9063009,American Falls,43.08106,-79.061361,igld,
185,9063012,Niagara Intake,43.076917,-79.013889,igld,
186,9063020,Buffalo,42.877444,-78.890472,igld,
187,9063028,Sturgeon Point,42.691306,-79.0473,igld,
188,9063038,"Erie, Lake Erie",42.1539,-80.07583,igld,
189,9063053,Fairport,41.75975,-81.28106,igld,
190,9063063,Cleveland,41.54086,-81.635472,igld,
191,9063079,Marblehead,41.54364,-82.73139,igld,
192,9063085,Toledo,41.69356,-83.47228,igld,
193,9063090,Fermi Power Plant,41.96,-83.257,igld,
194,9075002,Lakeport,43.141694,-82.493306,igld,
195,9075014,Harbor Beach,43.84639,-82.643059,igld,
196,9075035,Essexville,43.6404,-83.8468,igld,
197,9075065,Alpena,45.063,-83.4286,igld,
198,9075080,Mackinaw City,45.8,-84.721107,igld,
199,9075099,De Tour Village,45.9925,-83.8982,igld,
200,9076024,Rock Cut,46.264806,-84.191194,igld,
201,9076027,West Neebish Island,46.283306,-84.205,igld,
202,9076033,Little Rapids,46.485832,-84.301666,igld,
203,9076060,U.S. Slip,46.500805,-84.340363,igld,
204,9076070,"S.W. Pier, St. Marys River",46.501111,-84.372611,igld,
205,9087023,Ludington,43.947361,-86.441611,igld,
206,9087031,Holland,42.773333,-86.212778,igld,
207,9087044,Calumet Harbor,41.729721,-87.53833,igld,
208,9087057,Milwaukee,43.002,-87.8876,igld,
209,9087068,"Kewaunee, Lake Michigan",44.463972,-87.501028,igld,
210,9087072,Sturgeon Bay Canal,44.795583,-87.314333,igld,
211,9087077,Green Bay East,44.539028,-88.00106,igld,
212,9087088,Menominee,45.095889,-87.589944,igld,
213,9087096,Port Inland,45.969889,-85.8715,igld,
214,9099004,Point Iroquois,46.4845,-84.630889,igld,
215,9099018,Marquette C.G.,46.545555,-87.378609,igld,
216,9099044,Ontonagon,46.874443,-89.324165,igld,
217,9099064,Duluth,46.77575,-92.092028,igld,
218,9099090,"Grand Marais, Lake Superior",47.7486,-90.34128,igld,
